Domain.Code	Domain	Area.Code..FAO.	Area	Element.Code	Element	Item.Code..FAO.	Item	Year.Code	Year	Unit	Value	Flag	Flag.Description	REGION
QCL	Crops and livestock products	7	Angola	5510	Production	656	Coffee, green	2019	2019	tonnes	16961	Im	FAO data based on imputation methodology	Africa
QCL	Crops and livestock products	23	Belize	5510	Production	656	Coffee, green	2019	2019	tonnes	88	Im	FAO data based on imputation methodology	South America
QCL	Crops and livestock products	53	Benin	5510	Production	656	Coffee, green	2019	2019	tonnes	42	Im	FAO data based on imputation methodology	Africa
QCL	Crops and livestock products	19	Bolivia	5510	Production	656	Coffee, green	2019	2019	tonnes	24841		Official data	South America
QCL	Crops and livestock products	21	Brazil	5510	Production	656	Coffee, green	2019	2019	tonnes	3009402		Official data	South America
QCL	Crops and livestock products	29	Burundi	5510	Production	656	Coffee, green	2019	2019	tonnes	14059		Official data	Africa
QCL	Crops and livestock products	35	Cape Verde	5510	Production	656	Coffee, green	2019	2019	tonnes	0		Official data	Africa
QCL	Crops and livestock products	115	Cambodia	5510	Production	656	Coffee, green	2019	2019	tonnes	384	Im	FAO data based on imputation methodology	Asia
QCL	Crops and livestock products	32	Cameroon	5510	Production	656	Coffee, green	2019	2019	tonnes	28058	Im	FAO data based on imputation methodology	Africa
QCL	Crops and livestock products	37	Central African Republic	5510	Production	656	Coffee, green	2019	2019	tonnes	10129	Im	FAO data based on imputation methodology	Africa
QCL	Crops and livestock products	351	China	5510	Production	656	Coffee, green	2019	2019	tonnes	120000	A	Aggregate, may include official, semi-official, estimated or calculated data	Asia
QCL	Crops and livestock products	214	Taiwan	5510	Production	656	Coffee, green	2019	2019	tonnes	0	Im	FAO data based on imputation methodology	Asia
QCL	Crops and livestock products	44	Colombia	5510	Production	656	Coffee, green	2019	2019	tonnes	885120		Official data	South America
QCL	Crops and livestock products	45	Comoros	5510	Production	656	Coffee, green	2019	2019	tonnes	141	Im	FAO data based on imputation methodology	Africa
QCL	Crops and livestock products	46	Republic of the Congo	5510	Production	656	Coffee, green	2019	2019	tonnes	3069	Im	FAO data based on imputation methodology	Africa
QCL	Crops and livestock products	47	Cook Islands	5510	Production	656	Coffee, green	2019	2019	tonnes	0	Im	FAO data based on imputation methodology	Australia
QCL	Crops and livestock products	48	Costa Rica	5510	Production	656	Coffee, green	2019	2019	tonnes	84096		Official data	South America
QCL	Crops and livestock products	107	Ivory Coast	5510	Production	656	Coffee, green	2019	2019	tonnes	67697	Im	FAO data based on imputation methodology	Africa
QCL	Crops and livestock products	49	Cuba	5510	Production	656	Coffee, green	2019	2019	tonnes	5364	Im	FAO data based on imputation methodology	South America
QCL	Crops and livestock products	250	Democratic Republic of the Congo	5510	Production	656	Coffee, green	2019	2019	tonnes	31121	Im	FAO data based on imputation methodology	Africa
QCL	Crops and livestock products	55	Dominica	5510	Production	656	Coffee, green	2019	2019	tonnes	147	Im	FAO data based on imputation methodology	South America
