Domain.Code	Domain	Area.Code..FAO.	Area	Element.Code	Element	Item.Code..FAO.	Item	Year.Code	Year	Unit	Value	Flag	Flag.Description	REGION
QCL	Crops and livestock products	7	Angola	5419	Yield	656	Coffee, green	2019	2019	hg/ha	3073	Fc	Calculated data	Africa
QCL	Crops and livestock products	23	Belize	5419	Yield	656	Coffee, green	2019	2019	hg/ha	7273	Fc	Calculated data	South America
QCL	Crops and livestock products	53	Benin	5419	Yield	656	Coffee, green	2019	2019	hg/ha	1900	Fc	Calculated data	Africa
QCL	Crops and livestock products	19	Bolivia	5419	Yield	656	Coffee, green	2019	2019	hg/ha	9742	Fc	Calculated data	South America
QCL	Crops and livestock products	21	Brazil	5419	Yield	656	Coffee, green	2019	2019	hg/ha	16504	Fc	Calculated data	South America
QCL	Crops and livestock products	29	Burundi	5419	Yield	656	Coffee, green	2019	2019	hg/ha	9136	Fc	Calculated data	Africa
QCL	Crops and livestock products	115	Cambodia	5419	Yield	656	Coffee, green	2019	2019	hg/ha	8000	Fc	Calculated data	Asia
QCL	Crops and livestock products	32	Cameroon	5419	Yield	656	Coffee, green	2019	2019	hg/ha	3121	Fc	Calculated data	Africa
QCL	Crops and livestock products	37	Central African Republic	5419	Yield	656	Coffee, green	2019	2019	hg/ha	2075	Fc	Calculated data	Africa
QCL	Crops and livestock products	351	China	5419	Yield	656	Coffee, green	2019	2019	hg/ha	30298	Fc	Calculated data	Asia
QCL	Crops and livestock products	44	Colombia	5419	Yield	656	Coffee, green	2019	2019	hg/ha	10368	Fc	Calculated data	South America
QCL	Crops and livestock products	45	Comoros	5419	Yield	656	Coffee, green	2019	2019	hg/ha	1279	Fc	Calculated data	Africa
QCL	Crops and livestock products	46	Republic of the Congo	5419	Yield	656	Coffee, green	2019	2019	hg/ha	3044	Fc	Calculated data	Africa
QCL	Crops and livestock products	47	Cook Islands	5419	Yield	656	Coffee, green	2019	2019	hg/ha	0	Fc	Calculated data	Australia
