Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","656","Coffee, green","2019","2019","ha","55188","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","7","Angola","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3073","Fc","Calculated data"
"QCL","Crops and livestock products","7","Angola","5510","Production","656","Coffee, green","2019","2019","tonnes","16961","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","23","Belize","5312","Area harvested","656","Coffee, green","2019","2019","ha","121","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","23","Belize","5419","Yield","656","Coffee, green","2019","2019","hg/ha","7273","Fc","Calculated data"
"QCL","Crops and livestock products","23","Belize","5510","Production","656","Coffee, green","2019","2019","tonnes","88","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","53","Benin","5312","Area harvested","656","Coffee, green","2019","2019","ha","221","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","53","Benin","5419","Yield","656","Coffee, green","2019","2019","hg/ha","1900","Fc","Calculated data"
"QCL","Crops and livestock products","53","Benin","5510","Production","656","Coffee, green","2019","2019","tonnes","42","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5312","Area harvested","656","Coffee, green","2019","2019","ha","25500","","Official data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","656","Coffee, green","2019","2019","hg/ha","9742","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","656","Coffee, green","2019","2019","tonnes","24841","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2019","2019","ha","1823403","","Official data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2019","2019","hg/ha","16504","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2019","2019","tonnes","3009402","","Official data"
"QCL","Crops and livestock products","29","Burundi","5312","Area harvested","656","Coffee, green","2019","2019","ha","15389","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","29","Burundi","5419","Yield","656","Coffee, green","2019","2019","hg/ha","9136","Fc","Calculated data"
"QCL","Crops and livestock products","29","Burundi","5510","Production","656","Coffee, green","2019","2019","tonnes","14059","","Official data"
"QCL","Crops and livestock products","35","Cabo Verde","5312","Area harvested","656","Coffee, green","2019","2019","ha","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","35","Cabo Verde","5510","Production","656","Coffee, green","2019","2019","tonnes","0","","Official data"
"QCL","Crops and livestock products","115","Cambodia","5312","Area harvested","656","Coffee, green","2019","2019","ha","480","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","115","Cambodia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","8000","Fc","Calculated data"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","656","Coffee, green","2019","2019","tonnes","384","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","656","Coffee, green","2019","2019","ha","89898","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3121","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","656","Coffee, green","2019","2019","tonnes","28058","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","37","Central African Republic","5312","Area harvested","656","Coffee, green","2019","2019","ha","48813","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","37","Central African Republic","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2075","Fc","Calculated data"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","656","Coffee, green","2019","2019","tonnes","10129","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","351","China","5312","Area harvested","656","Coffee, green","2019","2019","ha","39607","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","656","Coffee, green","2019","2019","hg/ha","30298","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5510","Production","656","Coffee, green","2019","2019","tonnes","120000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","41","China, mainland","5312","Area harvested","656","Coffee, green","2019","2019","ha","39607","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","656","Coffee, green","2019","2019","hg/ha","30298","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","656","Coffee, green","2019","2019","tonnes","120000","*","Unofficial figure"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5312","Area harvested","656","Coffee, green","2019","2019","ha","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","656","Coffee, green","2019","2019","tonnes","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","656","Coffee, green","2019","2019","ha","853700","","Official data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","10368","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","656","Coffee, green","2019","2019","tonnes","885120","","Official data"
"QCL","Crops and livestock products","45","Comoros","5312","Area harvested","656","Coffee, green","2019","2019","ha","1102","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","45","Comoros","5419","Yield","656","Coffee, green","2019","2019","hg/ha","1279","Fc","Calculated data"
"QCL","Crops and livestock products","45","Comoros","5510","Production","656","Coffee, green","2019","2019","tonnes","141","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","46","Congo","5312","Area harvested","656","Coffee, green","2019","2019","ha","10083","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","46","Congo","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3044","Fc","Calculated data"
"QCL","Crops and livestock products","46","Congo","5510","Production","656","Coffee, green","2019","2019","tonnes","3069","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","47","Cook Islands","5312","Area harvested","656","Coffee, green","2019","2019","ha","1","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","47","Cook Islands","5419","Yield","656","Coffee, green","2019","2019","hg/ha","0","Fc","Calculated data"
"QCL","Crops and livestock products","47","Cook Islands","5510","Production","656","Coffee, green","2019","2019","tonnes","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","48","Costa Rica","5312","Area harvested","656","Coffee, green","2019","2019","ha","93697","","Official data"
"QCL","Crops and livestock products","48","Costa Rica","5419","Yield","656","Coffee, green","2019","2019","hg/ha","8975","Fc","Calculated data"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","656","Coffee, green","2019","2019","tonnes","84096","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","656","Coffee, green","2019","2019","ha","953972","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","656","Coffee, green","2019","2019","hg/ha","710","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","656","Coffee, green","2019","2019","tonnes","67697","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","49","Cuba","5312","Area harvested","656","Coffee, green","2019","2019","ha","16581","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","49","Cuba","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3235","Fc","Calculated data"
"QCL","Crops and livestock products","49","Cuba","5510","Production","656","Coffee, green","2019","2019","tonnes","5364","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5312","Area harvested","656","Coffee, green","2019","2019","ha","79400","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3920","Fc","Calculated data"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5510","Production","656","Coffee, green","2019","2019","tonnes","31121","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","55","Dominica","5312","Area harvested","656","Coffee, green","2019","2019","ha","1337","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","55","Dominica","5419","Yield","656","Coffee, green","2019","2019","hg/ha","1099","Fc","Calculated data"
"QCL","Crops and livestock products","55","Dominica","5510","Production","656","Coffee, green","2019","2019","tonnes","147","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","56","Dominican Republic","5312","Area harvested","656","Coffee, green","2019","2019","ha","75263","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","56","Dominican Republic","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2025","Fc","Calculated data"
"QCL","Crops and livestock products","56","Dominican Republic","5510","Production","656","Coffee, green","2019","2019","tonnes","15241","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","656","Coffee, green","2019","2019","ha","36047","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2258","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","656","Coffee, green","2019","2019","tonnes","8141","","Official data"
"QCL","Crops and livestock products","60","El Salvador","5312","Area harvested","656","Coffee, green","2019","2019","ha","160028","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","60","El Salvador","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2475","Fc","Calculated data"
"QCL","Crops and livestock products","60","El Salvador","5510","Production","656","Coffee, green","2019","2019","tonnes","39600","*","Unofficial figure"
"QCL","Crops and livestock products","61","Equatorial Guinea","5312","Area harvested","656","Coffee, green","2019","2019","ha","11500","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","61","Equatorial Guinea","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3677","Fc","Calculated data"
"QCL","Crops and livestock products","61","Equatorial Guinea","5510","Production","656","Coffee, green","2019","2019","tonnes","4228","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","238","Ethiopia","5312","Area harvested","656","Coffee, green","2019","2019","ha","758523","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","6362","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2019","2019","tonnes","482561","","Official data"
"QCL","Crops and livestock products","66","Fiji","5312","Area harvested","656","Coffee, green","2019","2019","ha","14","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","66","Fiji","5419","Yield","656","Coffee, green","2019","2019","hg/ha","5714","Fc","Calculated data"
"QCL","Crops and livestock products","66","Fiji","5510","Production","656","Coffee, green","2019","2019","tonnes","8","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","70","French Polynesia","5312","Area harvested","656","Coffee, green","2019","2019","ha","97","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","70","French Polynesia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2268","Fc","Calculated data"
"QCL","Crops and livestock products","70","French Polynesia","5510","Production","656","Coffee, green","2019","2019","tonnes","22","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","74","Gabon","5312","Area harvested","656","Coffee, green","2019","2019","ha","251","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","74","Gabon","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3426","Fc","Calculated data"
"QCL","Crops and livestock products","74","Gabon","5510","Production","656","Coffee, green","2019","2019","tonnes","86","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","656","Coffee, green","2019","2019","ha","349","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","656","Coffee, green","2019","2019","hg/ha","17192","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5510","Production","656","Coffee, green","2019","2019","tonnes","600","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","89","Guatemala","5312","Area harvested","656","Coffee, green","2019","2019","ha","308217","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","89","Guatemala","5419","Yield","656","Coffee, green","2019","2019","hg/ha","7300","Fc","Calculated data"
"QCL","Crops and livestock products","89","Guatemala","5510","Production","656","Coffee, green","2019","2019","tonnes","225000","*","Unofficial figure"
"QCL","Crops and livestock products","90","Guinea","5312","Area harvested","656","Coffee, green","2019","2019","ha","99833","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","90","Guinea","5419","Yield","656","Coffee, green","2019","2019","hg/ha","4233","Fc","Calculated data"
"QCL","Crops and livestock products","90","Guinea","5510","Production","656","Coffee, green","2019","2019","tonnes","42264","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","91","Guyana","5312","Area harvested","656","Coffee, green","2019","2019","ha","566","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","91","Guyana","5419","Yield","656","Coffee, green","2019","2019","hg/ha","7597","Fc","Calculated data"
"QCL","Crops and livestock products","91","Guyana","5510","Production","656","Coffee, green","2019","2019","tonnes","430","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","93","Haiti","5312","Area harvested","656","Coffee, green","2019","2019","ha","40029","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","93","Haiti","5419","Yield","656","Coffee, green","2019","2019","hg/ha","5171","Fc","Calculated data"
"QCL","Crops and livestock products","93","Haiti","5510","Production","656","Coffee, green","2019","2019","tonnes","20700","*","Unofficial figure"
"QCL","Crops and livestock products","95","Honduras","5312","Area harvested","656","Coffee, green","2019","2019","ha","420957","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","95","Honduras","5419","Yield","656","Coffee, green","2019","2019","hg/ha","11316","Fc","Calculated data"
"QCL","Crops and livestock products","95","Honduras","5510","Production","656","Coffee, green","2019","2019","tonnes","476345","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2019","2019","ha","416741","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","656","Coffee, green","2019","2019","hg/ha","7667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","656","Coffee, green","2019","2019","tonnes","319500","","Official data"
"QCL","Crops and livestock products","101","Indonesia","5312","Area harvested","656","Coffee, green","2019","2019","ha","1258032","","Official data"
"QCL","Crops and livestock products","101","Indonesia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","6049","Fc","Calculated data"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","656","Coffee, green","2019","2019","tonnes","760963","","Official data"
"QCL","Crops and livestock products","109","Jamaica","5312","Area harvested","656","Coffee, green","2019","2019","ha","7609","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","109","Jamaica","5419","Yield","656","Coffee, green","2019","2019","hg/ha","7343","Fc","Calculated data"
"QCL","Crops and livestock products","109","Jamaica","5510","Production","656","Coffee, green","2019","2019","tonnes","5587","","Official data"
"QCL","Crops and livestock products","114","Kenya","5312","Area harvested","656","Coffee, green","2019","2019","ha","116200","","Official data"
"QCL","Crops and livestock products","114","Kenya","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3830","Fc","Calculated data"
"QCL","Crops and livestock products","114","Kenya","5510","Production","656","Coffee, green","2019","2019","tonnes","44500","","Official data"
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5312","Area harvested","656","Coffee, green","2019","2019","ha","87817","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5419","Yield","656","Coffee, green","2019","2019","hg/ha","18890","Fc","Calculated data"
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5510","Production","656","Coffee, green","2019","2019","tonnes","165888","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","123","Liberia","5312","Area harvested","656","Coffee, green","2019","2019","ha","2243","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","123","Liberia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","2381","Fc","Calculated data"
"QCL","Crops and livestock products","123","Liberia","5510","Production","656","Coffee, green","2019","2019","tonnes","534","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","129","Madagascar","5312","Area harvested","656","Coffee, green","2019","2019","ha","112491","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","129","Madagascar","5419","Yield","656","Coffee, green","2019","2019","hg/ha","5846","Fc","Calculated data"
